Label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
6,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,0,male,master,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
5,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,1,male,bachelor,TX,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
7,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,2,female,master,TX,Product Engineer,CAD/CAM
0,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,3,male,bachelor,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
0,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,4,female,bachelor,NY,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
4,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,5,male,bachelor,AZ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,6,male,master,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
10,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,7,female,master,AZ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,8,male,bachelor,WA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
9,0,male,highschool,TX,RFP/Cloud/Objective-C/Swift/Wireframing/,9,female,bachelor,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
7,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,0,male,bachelor,AZ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
1,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,1,male,bachelor,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
1,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,2,male,bachelor,NY,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
10,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,3,female,master,UT,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
6,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,4,male,master,TX,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
5,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,5,female,master,NJ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
10,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,6,male,bachelor,UT,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
9,1,female,bachelor,NY,XML/XML/Unix/React/Wireframing/,7,female,bachelor,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
